drug_1,drug_2,similarity
DASIGLUCAGON HYDROCHLORIDE,GLUCAGON-LIKE PEPTIDE 2,0.7394
DASIGLUCAGON HYDROCHLORIDE,DASIGLUCAGON,1.0
DASIGLUCAGON HYDROCHLORIDE,[125I]GLP-1-(7-37) (HUMAN),0.7465
RISEDRONIC ACID,RISEDRONATE SODIUM ANHYDROUS,0.8
(-)-U-50488 METHANE SULFONATE,(-)-U-50488,0.8936
MRE 2029F20,AS74,0.7838
MRE 2029F20,AS100,0.7671
MRE 2029F20,AS94,0.7143
BSJ-03-204,BSJ-04-132,0.75
MONGERSEN,OBLIMERSEN,0.8155
MONGERSEN,AGATOLIMOD,0.7905
MONGERSEN,COBOMARSEN,0.7179
MONGERSEN,BAZLITORAN,0.7273
MONGERSEN,CUSTIRSEN,0.7768
MONGERSEN,AGATOLIMOD SODIUM,0.8021
MONGERSEN,BEVASIRANIB SODIUM,0.7207
COMPOUND 60 [PMID: 26155854],COMPOUND 57 [PMID: 26155854],0.7931
TOBRAMYCIN,DIBEKACIN,0.7083
TOBRAMYCIN,BEKANAMYCIN,0.7556
XCC,[125I]ABOPX,0.7344
BUFOGENIN,BUFALIN,0.7119
(R/S) EF-1500,(S)-EF-1520,0.7049
(R/S) EF-1500,(R)-EF-1520,0.7049
HYDROCORTAMATE HYDROCHLORIDE,HYDROCORTISONE HEMISUCCINATE,0.7536
BETAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,1.0
BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE ACETATE,0.7794
DEXAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE ACETATE,0.7794
EFATUTAZONE HYDROCHLORIDE,EFATUTAZONE,0.9839
EFATUTAZONE HYDROCHLORIDE,RIVOGLITAZONE,0.7424
AMG-337,C-MET INHIBITOR AMG 337,1.0
PEGNIVACOGIN,PEGAPTANIB OCTASODIUM,0.8478
DARUNAVIR,DARUNAVIR ETHANOLATE,0.9577
OSI-7904,OSI-7904L,1.0
BIROPEPIMUT-S,AVEXITIDE,0.7368
BIROPEPIMUT-S,LIXISENATIDE,0.7547
BIROPEPIMUT-S,APELIN-36,0.7616
BIROPEPIMUT-S,SERACTIDE ACETATE,0.7197
BIROPEPIMUT-S,SHAAGTIDE,0.7887
SAXAGLIPTIN ANHYDROUS,SAXAGLIPTIN HYDROCHLORIDE,0.9773
CEFONICID SODIUM,CEFONICID,0.7895
TCS 5861528,HC030031,0.8163
BETAMETHASONE VALERATE,DEXAMETHASONE DIPROPIONATE,0.7397
BETAMETHASONE VALERATE,CLOBETASOL PROPIONATE,0.75
BETAMETHASONE VALERATE,BETAMETHASONE BENZOATE,0.7671
BETAMETHASONE VALERATE,BETAMETHASONE BUTYRATE PROPIONATE,0.7703
PIRENZEPINE HYDROCHLORIDE,[3H]PIRENZEPINE,0.98
ETHACRIDINE,ETHACRIDINE LACTATE,0.7955
HEROIN,DIACETYLMORPHINE,1.0
OBLIMERSEN,AGATOLIMOD SODIUM,0.8557
OBLIMERSEN,BEVASIRANIB SODIUM,0.7368
GLEPAGLUTIDE,HUMAN GIP(3-30)NH2,0.7194
GLEPAGLUTIDE,PTHRP-(1-34) (HUMAN),0.7661
GLEPAGLUTIDE,[125I]GLP-1-(7-36)-AMIDE,0.896
GLEPAGLUTIDE,"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7372
GLEPAGLUTIDE,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.8583
GLEPAGLUTIDE,PTHRP-(1-36),0.76
GLEPAGLUTIDE,APRAGLUTIDE,0.8125
GLEPAGLUTIDE,GLUCAGON-LIKE PEPTIDE 2,0.7537
GLEPAGLUTIDE,[125I]GLP-1-(7-37) (HUMAN),0.8583
EICOSAPENTAENOIC ACID,LINOLENIC ACID,0.8519
EICOSAPENTAENOIC ACID,ARACHIDONIC ACID,0.75
FADOLMIDINE,FADOLMIDINE HYDROCHLORIDE,0.9722
SPIRAPRIL,SPIRAPRILAT,0.8305
TERAMEPROCOL,DIHYDROGUAIARETIC ACID,0.7
QUINOLONYL-OXAZOLIDINONE ANTIBIOTIC DNV3837,CADAZOLID,0.7065
GW274150,GW-274150,1.0
PSB-11,[3H]PSB-11,1.0
5-OXO-ETE,5-OXO-C20:3,0.9714
5-OXO-ETE,5-OXO-20-HETE,0.7436
NEUROMEDIN C,NEUROMEDIN U-25,1.0
NEUROMEDIN C,NEUROMEDIN B,0.8696
NEUROMEDIN C,NEUROMEDIN S-33,1.0
KASSININ,SUBSTANCE P,0.7054
KASSININ,"[125I]SP (HUMAN, MOUSE, RAT)",0.7054
KASSININ,"[3H]SP (HUMAN, MOUSE, RAT)",0.7054
SARAFOTOXIN S6B,ENDOTHELIN-2,0.7438
GLUCAGON-LIKE PEPTIDE 2-(3-33),AVEXITIDE,0.7007
GLUCAGON-LIKE PEPTIDE 2-(3-33),GLP-2 ANALOGUE 10,0.8862
GLUCAGON-LIKE PEPTIDE 2-(3-33),HUMAN GIP(3-30)NH2,0.7761
GLUCAGON-LIKE PEPTIDE 2-(3-33),SERMORELIN ACETATE,0.7266
GLUCAGON-LIKE PEPTIDE 2-(3-33),DISITERTIDE,0.7217
GLUCAGON-LIKE PEPTIDE 2-(3-33),APRAGLUTIDE,0.7769
GLUCAGON-LIKE PEPTIDE 2-(3-33),GLUCAGON-LIKE PEPTIDE 2,0.872
AVEXITIDE,EXENDIN-3,0.9007
AVEXITIDE,LIXISENATIDE,0.8535
AVEXITIDE,EPIDERMAL GROWTH FACTOR,0.7083
AVEXITIDE,KISSPEPTIN-54,0.7186
AVEXITIDE,APELIN-36,0.7267
AVEXITIDE,SLOTOXIN,0.717
AVEXITIDE,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.75
AVEXITIDE,[125I]EXENDIN-(9-39),0.8658
CALPEPTIN,MG-132,0.78
[3H]GSK931145,GSK931145,1.0
OLEOYL-LYSOPHOSPHATIDYLCHOLINE,1-PALMITOYL-LYSOPHOSPHATIDYLCHOLINE,0.8776
LTC4,LTE4,0.7538
LTC4,LTD4,0.7879
COMPOUND 2 [PMID: 24793972],RTI-13951-33,0.7015
RP67580,RP-67580,1.0
EMPA,[3H]EMPA,1.0
MRS2802,URIDINE-5'-DIPHOSPHATE,0.7222
MRS2802,PSB1114,0.7288
AP4A,ADENOSINE MONOPHOSPHATE,0.7778
MRS2957,URIDINE-5'-DIPHOSPHATE,0.7
[3H]TAUROCHOLIC ACID,TAUROCHOLIC ACID,1.0
[3H]TAUROCHOLIC ACID,SODIUM TAUROCHOLATE,0.8485
[3H]TAUROCHOLIC ACID,TAURODEOXYCHOLIC ACID,0.7761
SC-435,MARALIXIBAT CHLORIDE,0.7229
SEGLITIDE,"L-363,377",0.7024
PG 97-269,PTHRP-(1-34) (HUMAN),0.7815
PG 97-269,K31440,0.7895
PG 97-269,[125I]GLP-1-(7-36)-AMIDE,0.7557
PG 97-269,NPY-(20-36) (PIG),0.7876
PG 97-269,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.7348
PG 97-269,PTHRP-(1-36),0.775
PG 97-269,"NPY-(18-36) (HUMAN, PIG)",0.7857
PG 97-269,[125I]BAY 55-9837,0.8684
PG 97-269,[125I]GLP-1-(7-37) (HUMAN),0.7348
PG 97-269,NPY-(16-36) (PIG),0.7719
[VAL4]AVP,ARGIPRESSIN TANNATE,0.8687
[VAL4]AVP,SELEPRESSIN,0.7248
[VAL4]AVP,D[CHA4]AVP,0.757
[VAL4]AVP,DVDAVP,0.88
[VAL4]AVP,DAVP,0.7642
[VAL4]AVP,D[LEU4]AVP,0.7905
TYRPHOSTIN AG 1295,TYRPHOSTIN AG 1296,0.7273
TYRPHOSTIN AG 1295,AG 1296,0.7273
PERINDOPRILAT,TRANDOLAPRILAT,0.7407
PERINDOPRILAT,RAMIPRILAT,0.7091
PF-956980,TASOCITINIB,0.7213
THEONELLASTEROL B,CONICASTEROL B,0.7925
BUSERELIN ACETATE,LUTEINIZING HORMONE,0.8281
BUSERELIN ACETATE,TRIPTORELIN,0.8306
BUSERELIN ACETATE,GNRH I,0.7109
BUSERELIN ACETATE,TRIPTORELIN PAMOATE,0.7482
ALX40-4C,CN-105,0.7442
5-OXO-C20:3,5-OXO-20-HETE,0.7692
PSB-1584,6-N-OCTYLAMINOURACIL,1.0
ANX-042,NESIRITIDE,0.8983
ORYZALIN,NITRALIN,0.7568
GALANGIN,QUERCETIN DIHYDRATE,0.7
ACETYLCHOLINE,E1001,1.0
SAPPANONE A 7-METHYL ETHER,SAPPANONE A DIMETHYL ETHER,0.8333
SAPPANONE A 7-METHYL ETHER,SAPPANONE A TRIMETHYL ETHER,0.7347
[3H]METHYLLYCACONITINE,METHYLLYCACONITINE,1.0
EGFR/ERBB-2 INHIBITOR,SRC KINASE INHIBITOR I,0.75
PD98059,MEK INHIBITOR PD-98059,1.0
FR139317,[125I]PD151242,0.75
NEUROMEDIN U-25,NEUROMEDIN B,0.8696
NEUROMEDIN U-25,NEUROMEDIN S-33,1.0
CCG-63802,CCG-63808,0.7857
[19F]-HALOPERIDOL,HALOPERIDOL LACTATE,0.8431
AB-MECA,[125I]AB-MECA,0.8
MECLIZINE HYDROCHLORIDE,MECLIZINE DIHCL,0.9762
(R)-FELODIPINE,(S)-FELODIPINE,1.0
INSULIN DETEMIR,INSULIN PURIFIED BEEF,0.8325
INSULIN DETEMIR,INSULIN GLARGINE-YFGN,0.9212
INSULIN DETEMIR,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,0.9212
INSULIN DETEMIR,INSULIN SUSP ISOPHANE PURIFIED BEEF,0.9212
INSULIN DETEMIR,INSULIN PEGLISPRO,0.9212
INSULIN DETEMIR,INSULIN SENSITIZER S-707106,0.9212
INSULIN DETEMIR,INSULIN DEGLUDEC,0.9846
INSULIN DETEMIR,INSULIN PURIFIED PORK,0.9212
INSULIN DETEMIR,INSULIN ZINC SUSP PURIFIED PORK,0.9212
INSULIN DETEMIR,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.9212
INSULIN DETEMIR,INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.9212
INSULIN DETEMIR,"INSULIN ZINC, EXTENDED",0.9212
INSULIN DETEMIR,INSULIN ZINC SUSP RECOMBINANT HUMAN,0.9212
INSULIN DETEMIR,INSULIN ASPART PROTAMINE RECOMBINANT,0.9212
INSULIN DETEMIR,INSULIN LISPRO-AABC,0.9212
INSULIN DETEMIR,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.9212
INSULIN DETEMIR,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.9212
TAUROLITHOCHOLIC ACID-3-SULPHATE,TAURODEOXYCHOLIC ACID,0.8095
THYMIDINE,TELBIVUDINE,1.0
THYMIDINE,THYMIDINE MONOPHOSPHATE,0.7021
COMPOUND 27 [PMID: 20346665],COMPOUND 24 [PMID: 20346665],0.8298
AXT914,ATF-936,0.7286
AXT914,ATF936,0.7286
INSULIN PURIFIED BEEF,INSULIN GLARGINE-YFGN,0.8502
INSULIN PURIFIED BEEF,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,0.8502
INSULIN PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED BEEF,0.8502
INSULIN PURIFIED BEEF,INSULIN PEGLISPRO,0.8502
INSULIN PURIFIED BEEF,INSULIN SENSITIZER S-707106,0.8502
INSULIN PURIFIED BEEF,INSULIN DEGLUDEC,0.8447
INSULIN PURIFIED BEEF,SERELAXIN,0.7
INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,0.8502
INSULIN PURIFIED BEEF,INSULIN ZINC SUSP PURIFIED PORK,0.8502
INSULIN PURIFIED BEEF,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.8502
INSULIN PURIFIED BEEF,HIRUDIN,0.7352
INSULIN PURIFIED BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.8502
INSULIN PURIFIED BEEF,"INSULIN ZINC, EXTENDED",0.8502
INSULIN PURIFIED BEEF,INSULIN ZINC SUSP RECOMBINANT HUMAN,0.8502
INSULIN PURIFIED BEEF,INSULIN ASPART PROTAMINE RECOMBINANT,0.8502
INSULIN PURIFIED BEEF,INSULIN LISPRO-AABC,0.8502
INSULIN PURIFIED BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.8502
INSULIN PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.8502
LEVALBUTEROL TARTRATE,LEVALBUTEROL,0.825
TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE PHOSPHATE COMPLEX,0.9818
AMG-319,AMG319,1.0
LIPIDYL PSEUDOPTERANE A,LIPIDYL PSEUDOPTERANE D,0.7534
GW-406381,GW406381,1.0
BENAZEPRIL HYDROCHLORIDE,BENAZEPRILAT,0.7857
HOLACANTHONE,GLAUCARUBINONE,0.7794
CHLORBROMURON,LINURON,0.7568
METHYLBENZETHONIUM,BENZETHONIUM,0.7255
METHOPRENE,METHOPRENE ACID,0.75
NISOXETINE HYDROCHLORIDE,NISOXETINE,0.9697
FLUACIZINE,CHLORACYZINE,0.72
BCR-ABL INHIBITOR GNF-2,GNF-5,0.7368
BENZALKONIUM CHLORIDE,MIRISTALKONIUM CHLORIDE,0.963
BENZALKONIUM CHLORIDE,BENZODODECINIUM CHLORIDE,0.963
DL-LACTIC ACID,D-LACTIC ACID,1.0
CO-TRIMOXAZOLE,SULFAMETHOXAZOLE / TRIMETHOPRIM,1.0
LUTEINIZING HORMONE,TRIPTORELIN,0.9391
LUTEINIZING HORMONE,GNRH I,0.8696
LUTEINIZING HORMONE,TRIPTORELIN PAMOATE,0.8527
LUTEINIZING HORMONE,GNRH III,0.7154
MEFLOQUINE,"(S,R)-MEFLOQUINE",1.0
TOFERSEN,LY2181308,0.822
TOFERSEN,BAZLITORAN,0.7164
TOFERSEN,CUSTIRSEN,0.8487
INSULIN GLARGINE-YFGN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
INSULIN GLARGINE-YFGN,INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
INSULIN GLARGINE-YFGN,INSULIN PEGLISPRO,1.0
INSULIN GLARGINE-YFGN,INSULIN SENSITIZER S-707106,1.0
INSULIN GLARGINE-YFGN,INSULIN DEGLUDEC,0.935
INSULIN GLARGINE-YFGN,INSULIN PURIFIED PORK,1.0
INSULIN GLARGINE-YFGN,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN GLARGINE-YFGN,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN GLARGINE-YFGN,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN GLARGINE-YFGN,"INSULIN ZINC, EXTENDED",1.0
INSULIN GLARGINE-YFGN,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN GLARGINE-YFGN,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN GLARGINE-YFGN,INSULIN LISPRO-AABC,1.0
INSULIN GLARGINE-YFGN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN GLARGINE-YFGN,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
ISIS 113715,ISIS 2503,1.0
DIPHENOXYLATE,DIPHENOXYLATE HYDROCHLORIDE,0.9796
DELAVIRDINE MESYLATE,DELAVIRDINE,0.9833
FOLATE RECEPTOR-TARGETED VINCA ALKALOID EC0489,FOLATE ANTAGONIST,1.0
AZD-5122,AZD5069,0.7571
PF-05190457,PF-5190457,1.0
PLITIDEPSIN,DIDEMNIN B,0.8957
SR-123781A,IDRAPARINUX SODIUM,0.9038
ATF-936,ATF936,1.0
TAUROCHOLIC ACID,SODIUM TAUROCHOLATE,0.8485
TAUROCHOLIC ACID,TAURODEOXYCHOLIC ACID,0.7761
SER-100,AC-RYYRWK-NH2,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PEGLISPRO,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN SENSITIZER S-707106,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN DEGLUDEC,0.935
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED PORK,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,"INSULIN ZINC, EXTENDED",1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN LISPRO-AABC,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
LY-2584702,LY2584702,1.0
P-MPPI,P-[18F]MPPF,0.7097
P-MPPI,[3H]P-MPPF,0.8475
(S)-FLUROCARAZOLOL,(R)-FLUROCARAZOLOL,1.0
(S)-FLUROCARAZOLOL,CARAZOLOL,0.8261
ANGIOTENSIN A,ANGIOTENSIN III,0.9082
ANGIOTENSIN A,TRV023,0.7091
ANGIOTENSIN A,TXA127,0.7941
NEUROMEDIN B,NEUROMEDIN S-33,0.8696
CITRUSININE II,CITIBRASINE,0.7073
DESULFATED CHOLECYSTOKININ-8,GASTRIN-14,0.7021
RO320-2947/001,RO116-4875/608,0.7538
ZONGERTINIB,BI-4142,0.8
"[125I]ET-1 (HUMAN, MOUSE, RAT)",BQ 3020,0.8205
"[125I]ET-1 (HUMAN, MOUSE, RAT)",HUMAN GIP(3-30)NH2,0.7537
BQ 3020,HUMAN GIP(3-30)NH2,0.7557
LAU463,PZ-II-029,0.8182
GALANIN(2-29) (RAT/MOUSE),GALANIN(3-29) (RAT/MOUSE),0.8112
GALANIN(2-29) (RAT/MOUSE),GALP(1-32) (HUMAN),0.7935
GALANIN(2-29) (RAT/MOUSE),GALANIN(10-29) (RAT/MOUSE),0.7832
GALANIN(2-29) (RAT/MOUSE),BULEVIRTIDE,0.7051
GALANIN(2-29) (RAT/MOUSE),OSTN (81-102),0.7083
GALANIN(2-29) (RAT/MOUSE),[125I][TYR26]GALANIN (HUMAN),0.9078
GALANIN(2-29) (RAT/MOUSE),GAL-B5,0.7162
GALANIN(2-29) (RAT/MOUSE),[125I]GLP-1-(7-36)-AMIDE,0.7267
GALANIN(2-29) (RAT/MOUSE),CHGB (511-532),0.7027
GALANIN(2-29) (RAT/MOUSE),"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7687
GALANIN(2-29) (RAT/MOUSE),CT-(8-32) (SALMON),0.7181
GALANIN(2-29) (RAT/MOUSE),GLUCAGON-LIKE PEPTIDE 1-(7-37),0.7315
GALANIN(2-29) (RAT/MOUSE),GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.7285
GALANIN(2-29) (RAT/MOUSE),GALANIN(1-19) (HUMAN),0.7801
GALANIN(2-29) (RAT/MOUSE),[125I]GLP-1-(7-37) (HUMAN),0.7315
GALANIN(2-29) (RAT/MOUSE),[125I]PRRP31,0.7152
GALANIN(3-29) (RAT/MOUSE),"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.7351
GALANIN(3-29) (RAT/MOUSE),GALANIN(10-29) (RAT/MOUSE),0.9062
GALANIN(3-29) (RAT/MOUSE),OSTN (81-102),0.7029
GALANIN(3-29) (RAT/MOUSE),PTHRP-(1-34) (HUMAN),0.7037
GALANIN(3-29) (RAT/MOUSE),[125I][TYR26]GALANIN (HUMAN),0.7793
GALANIN(3-29) (RAT/MOUSE),V3 PEPTIDE,0.7971
GALANIN(3-29) (RAT/MOUSE),"[125I]NPY (HUMAN, MOUSE, RAT)",0.7124
GALANIN(3-29) (RAT/MOUSE),PTHRP-(1-36),0.7111
EXENDIN-3,LIXISENATIDE,0.8758
EXENDIN-3,GLP-2 ANALOGUE 10,0.7697
EXENDIN-3,EPIDERMAL GROWTH FACTOR,0.7633
EXENDIN-3,KISSPEPTIN-54,0.7844
EXENDIN-3,APELIN-36,0.7202
EXENDIN-3,UROCORTIN 3,0.7597
EXENDIN-3,SLOTOXIN,0.7317
EXENDIN-3,GASTRIN-RELEASING PEPTIDE,0.75
EXENDIN-3,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.775
EXENDIN-3,[125I]EXENDIN-(9-39),0.784
LIXISENATIDE,GALP(1-32) (HUMAN),0.7011
LIXISENATIDE,[125I]CT (HUMAN),0.7118
LIXISENATIDE,HUMAN GIP(3-30)NH2,0.7117
LIXISENATIDE,KISSPEPTIN-54,0.7257
LIXISENATIDE,BULEVIRTIDE,0.7006
LIXISENATIDE,APELIN-36,0.7866
LIXISENATIDE,SLOTOXIN,0.7246
LIXISENATIDE,SERACTIDE ACETATE,0.7168
LIXISENATIDE,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7143
LIXISENATIDE,[125I]EXENDIN-(9-39),0.7545
LIXISENATIDE,SHAAGTIDE,0.7562
LIXISENATIDE,APRAGLUTIDE,0.7325
LIXISENATIDE,GLUCAGON-LIKE PEPTIDE 2,0.7628
LIXISENATIDE,KBP-088,0.7126
GLP-2 ANALOGUE 10,HUMAN GIP(3-30)NH2,0.7447
GLP-2 ANALOGUE 10,SERMORELIN ACETATE,0.7218
GLP-2 ANALOGUE 10,APRAGLUTIDE,0.7574
GLP-2 ANALOGUE 10,GLUCAGON-LIKE PEPTIDE 2,0.876
[3H]RESOLVIN D1,RESOLVIN D1,1.0
PSB-17365,PSB-16434,0.7568
POMC (141-162),"PYY-(13-36) (MOUSE, RAT, PIG)",0.7097
POMC (141-162),[125I]NEUROMEDIN U-25 (HUMAN),0.7583
POMC (141-162),TERTOMOTIDE,0.7373
POMC (141-162),CHGB (511-532),0.7188
POMC (141-162),SOR-C13,0.7458
POMC (141-162),[125I]NEUROMEDIN U-23 (RAT),0.76
POMC (141-162),CXCL12-(1-9),0.7207
[3H]CTEP,CTEP,1.0
DESOXYCORTICOSTERONE,PROGESTERONE ANTAGONIST,0.7755
MOTILIN-(1-19) (HUMAN),TIMBETASIN,0.7111
MOTILIN-(1-19) (HUMAN),DYNORPHIN-(1-11),0.72
MOTILIN-(1-19) (HUMAN),[125I]NEUROMEDIN U-23 (RAT),0.7029
MOTILIN-(1-19) (HUMAN),OSTN (115-133),0.7077
MOTILIN-(1-19) (HUMAN),DYNORPHIN A-(1-13),0.72
MOTILIN-(1-19) (HUMAN),F PEPTIDE,0.7123
"[125I]NKA (HUMAN, MOUSE, RAT)",NEUROKININ B,0.7802
NEUROPEPTIDE W-30,NEUROPEPTIDE Y-(3-36),1.0
NEUROPEPTIDE W-30,NEUROPEPTIDE W-23,1.0
NEUROPEPTIDE W-30,NEUROPEPTIDE K,1.0
NEUROPEPTIDE W-30,NEUROPEPTIDE HEAD ACTIVATOR,1.0
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",[125I]CT (HUMAN),0.7143
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",V3 PEPTIDE,0.7124
"[125I]OREXIN A (HUMAN, MOUSE, RAT)","[125I]NPY (HUMAN, MOUSE, RAT)",0.7468
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",CT-(8-32) (SALMON),0.7383
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",THR10CONTULAKIN-G,0.7241
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",[125I]CT (SALMON),0.7417
"[125I]OREXIN A (HUMAN, MOUSE, RAT)",CONTULAKIN-G,0.7241
PSB-10211,REACTIVE BLUE-2,0.7705
COMPOUND 5 [PMID: 29579323],COMPOUND 6 [PMID: 29579323],0.7826
ADENOSINE MONOPHOSPHATE,AMP-PNP,0.7414
[3H]SR 121463A,SATAVAPTAN,1.0
NPY-(26-36) (PIG),NPY-(20-36) (PIG),0.7333
NPY-(26-36) (PIG),NPY-(16-36) (PIG),0.717
DOXORUBICIN LIPOSOME,BERUBICIN,0.8
DOXORUBICIN LIPOSOME,CARUBICIN,0.75
DOXORUBICIN LIPOSOME,DUBORIMYCIN,0.7792
DOXORUBICIN LIPOSOME,NEMORUBICIN,0.7326
DOXORUBICIN LIPOSOME,DAUNORUBICIN CITRATE,0.7738
DOXORUBICIN LIPOSOME,SABARUBICIN,0.7973
DOXORUBICIN LIPOSOME,13-DEOXYDOXORUBICIN,0.8267
ETHAVERINE HYDROCHLORIDE,PAPAVERINE HYDROCHLORIDE,0.7317
ICATIBANT ACETATE,B-9430,0.7154
SB-3CT,(R)-ND-336,0.7179
COUMARIN-3-CARBOXYLIC ACID,3-ACETYLCOUMARIN,0.7188
GW837331X,GW861893X,0.7258
NAMITECAN,GIMATECAN,0.7945
ALPHA-CYPERMETHRIN,GAMMA-CYHALOTHRIN,0.8571
DIHYDROSTREPTOMYCIN,STREPTOMYCIN,0.7742
KOS1326,ALEMCINAL,0.7386
KOS1326,EM-523,0.7444
HYDRASTININE,HYDRASTININE HYDROCHLORIDE,0.9677
FGF401,ROBLITINIB,1.0
SOPHORAFLAVANONE G,KUSHENOL A,0.8421
3-IODOBENZYLGUANIDINE,IOBENGUANE I-123,1.0
3-IODOBENZYLGUANIDINE,IOBENGUANE,1.0
CPUY192018,ISOQUINOLINE 17 [PMID: 30122040],0.75
TIMBETASIN,HUMANIN,0.7132
TIMBETASIN,THR10CONTULAKIN-G,0.7045
TIMBETASIN,KBP-088,0.7083
TIMBETASIN,F PEPTIDE,0.7133
TIMBETASIN,CONTULAKIN-G,0.7045
CONTEZOLID ACEFOSAMIL,CONTEZOLID ACEFOSAMIL (PARENT),0.8462
BIHELICAL APOA-I MIMETIC PEPTIDE 5A,SPINORPHIN,0.7103
CHLOROPHACINONE,DIPHENADIONE,0.8125
RIFAXIMIN,RIFAMYCIN SODIUM,0.7
DEXFENFLURAMINE,DEXFENFLURAMINE HYDROCHLORIDE,0.9697
DINITRAMINE,"FACTOR XIII, HUMAN",0.8095
ZORIFERTINIB,AZD-3759,1.0
DEXPROPRANOLOL HYDROCHLORIDE,DEXPROPRANOLOL,0.9714
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN PEGLISPRO,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SENSITIZER S-707106,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN DEGLUDEC,0.935
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN PURIFIED PORK,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,"INSULIN ZINC, EXTENDED",1.0
